source,target
116341,1215120
116341,2493101
116341,501362
116341,470303
116341,1223630
116341,68842
116341,2189099
116341,8487
116341,7046
116341,1102449
116341,1074129
116341,2066306
116341,173729
116341,938972
116341,1236595
7487,1182652
7487,1182651
7487,1289529
7487,1205155
7487,206581
7487,46392
7487,1220629
7487,13604
7487,10713
7487,69600
7487,1919128
7487,112940
7487,37122
7487,24937
7487,193488
7487,3894
7487,6968
7487,3895
7487,84527
7487,928828
7487,84530
7487,57446
7487,215486
7487,1161962
7487,71252
7487,108126
7487,107210
7487,2778
7487,5602
7487,5281
7487,1306064
7487,174981
7487,558240
7487,55983
7487,7908
7487,1236773
47990,112923
47990,1483
47990,1046723
47990,220875
47990,47991
47990,57824
47990,1215942
47990,1226069
47990,12094
47990,5539
47990,8261
47990,7174
47990,105629
47990,4286
47990,72254
47990,94067
47990,96074
47990,982
47990,1665140
47990,120608
47990,1596910
47990,24045
112923,10214
112923,1829413
1829413,1400290
1829413,1400293
1829413,47990
10592,10593
10592,18632
10592,96082
10592,10594
10592,2030027
10592,2033613
10592,1505155
10592,16463
10592,91431
10592,1046088
10592,2590245
10592,146964
10592,1171032
10592,1190206
10593,22861
10593,10594
10593,16463
10593,84678
10593,2585
10593,40176
10593,4301
230192,230193
230192,112923
230192,1829413
55466,16866
55466,111455
55466,1084537
55466,2609280
55466,8891
55466,11279
55466,80860
55466,57461
55466,81487
55466,56367
55466,937034
10594,24594
10594,1103603
10594,220908
10594,1400795
10594,40176
10594,4301
10594,76141
10594,77943
10594,15903
10594,340927
10594,22861
10594,1237916
10594,11370
10594,9188
10594,1923
10594,477
10594,29859
10594,15831
10594,1754138
10594,112923
10594,10214
10594,103616
10594,11152
10594,142190
10594,16463
10594,2585
10594,100183
10594,13745
8968,97884
8968,1797181
8968,1797182
8968,117555
8968,1207229
8968,141317
8968,982
8968,1120207
1149345,80535
1149345,47632
80535,16165
80535,34902
80535,142750
80535,142751
80535,47632
80535,226001
80535,76594
80535,1059011
80535,1164263
80535,142752
80535,29704
80535,1913149
80535,15344
80535,37759
80535,20056
80535,2330903
47632,39658
47632,10168
47632,973
47632,974
47632,975
1116912,2585
1116912,110001
2585,100183
2585,13745
2585,10750
2585,46392
2585,1428
2585,118421
2585,118422
2585,110001
2585,22860
2585,1430
2585,1171675
2585,8261
2585,7174
2585,105629
2585,84678
2585,100194
2585,109800
2585,22861
2585,44999
2585,95486
2585,85930
2585,90388
2585,90389
2585,107602
2585,592587
2585,107209
2585,184306
2585,1228004
110001,110023
110001,109804
110001,22645
110001,110066
110001,110067
110001,39624
110001,82702
110001,54421
110001,231519
110001,44999
110001,95486
110001,117555
110001,1207229
110001,8968
110001,47990
110001,220875
110001,47991
100183,13745
100183,185013
100183,1690001
100183,932051
100183,932058
100183,112923
100183,10214
100183,61011
100183,1352367
100183,1352368
13745,86390
13745,86385
13745,1120068
13745,10593
13745,1487
62644,32362
62644,1395597
62644,2041
62644,1072976
62644,1073001
32362,111402
32362,111404
32362,1452827
32362,111403
32362,1395597
32362,1160640
32362,191275
32362,1160641
32362,12219
32362,19292
32362,7132
58198,5621
58198,5620
58198,1409651
58198,1409652
58198,56323
58198,56322
58198,41091
1409651,1409652
108661,214830
108661,1070445
108661,1070443
214830,1070443
214830,1070445
1070445,1070443
145755,1082289
145755,1082290
1082289,1082290
84534,9315
9315,2209240
9315,141289
9315,2426776
9315,1045540
9315,9316
9315,80892
9315,80894
9315,1088666
9315,1515687
9315,1515688
224858,1391409
1740159,1740160
1135272,39121
1776464,4244
1776464,4238
4244,4238
4238,16450
4238,1100780
4238,561869
4238,35705
4238,62649
4238,558928
4238,212184
4238,65640
4238,143242
4238,174837
22297,533061
533061,235995
533061,235996
533061,92563
533061,95076
533061,236082
533061,91478
533061,143470
533061,64809
533061,548398
533061,1206713
533061,92569
533061,101813
533061,3186
533061,89799
533061,325
533061,134
533061,7487
533061,206581
533061,46392
533061,201
533061,47
533061,206
11669,43120
11669,53926
11669,12111
11669,23659
11669,27738
11669,56323
11669,56322
11669,41091
27738,1178812
27738,22125
27738,18472
27738,91609
27738,38674
27738,214691
52792,79082
52792,56323
52792,56322
52792,41091
52792,12219
52792,19292
52792,7132
79082,54503
79082,1780992
79082,1492969
1743385,109
109,1367
109,1328
109,1062
109,34521
109,1057653
109,206
109,204
109,205
109,1893
109,2879
109,173431
109,29094
109,585902
109,1739002
7090,11076
7090,52951
7090,7879
7090,67630
7090,114470
7090,923
7090,51990
7090,865
7090,7402
7090,21246
7090,81690
114470,5589
114470,155173
114470,923
923,156485
923,1213549
923,5048
923,133858
923,2547
923,160474
923,8258
923,60438
923,1226824
923,2778
923,1499594
923,31169
1847916,1416462
1847916,1416474
1847916,2209385
1847916,2263686
1847916,2474137
1416462,1416474
1416462,1848999
1416462,1945960
1416462,1989606
1416462,584562
1416462,1989607
102786,964843
102786,198
102786,19011
102786,2503684
102786,1068409
102786,1068410
102786,1068411
102786,2954
102786,33663
102786,2301996
102786,501362
102786,470303
102786,1223630
102786,149923
102786,1063969
102786,1063970
102786,1314544
102786,998458
102786,1923219
102786,1700943
102786,938972
102786,1236595
102786,35705
102786,143242
102786,174837
102786,68842
102786,1181293
102786,2189099
102786,2569912
102786,2601848
102786,2601877
102786,112580
102786,1508921
102786,1508922
102786,1839512
102786,1595030
102786,1839513
102786,1396525
102786,114454
102786,2065478
964843,13309
964843,198
964843,1068409
964843,1068410
964843,1068411
964843,558240
964843,8968
964843,11181
964843,35705
964843,143242
964843,174837
964843,1839512
964843,1595030
964843,1839513
198,15827
198,15829
198,30364
198,199
198,82702
198,11510
198,66606
198,138986
198,7447
198,85564
198,56367
198,200
27319,49205
27319,1178282
27319,6193
27319,287
27319,19119
6193,103
6193,2282
6193,3899
6193,24045
6193,21007
6193,234352
6193,514
6193,1892
6193,9261
6193,488
6193,31
135651,60073
135651,2525463
135651,19767
135651,1215299
60073,1277188
60073,11148
60073,3223
60073,16828
60073,103
60073,11090
60073,39995
60073,18793
2157,569
2157,2692
2157,90654
2157,1892
2157,880
2157,57446
2157,7399
2157,11074
2157,40009
2157,1062
2157,116100
2157,1140098
2157,12826
2157,16418
2157,78798
2157,67778
2157,1216096
2157,8930
2157,225202
2157,10400
2157,73931
2157,5064
2157,707
2157,26485
2157,54812
2157,9979
2157,9789
2157,6449
2157,55983
2157,7908
2157,1236773
8851,979952
8851,32715
8851,16303
8851,66586
8851,20156
8851,4347
8851,4299
979952,32715
979952,1176349
979952,1668794
979952,1474935
979952,81487
979952,56367
979952,937034
32715,66885
32715,66886
32715,66887
32715,6352
32715,13301
32715,1487
32715,82388
32715,7904
32715,1243
32715,22860
32715,7172
32715,1172565
32715,45042
32715,553721
32715,1789239
84445,197833
84445,573813
197833,573813
822,20879
822,4587
822,110380
822,9780
822,819
822,820
822,821
20879,6168
20879,5341
2632,5726
2632,57446
2632,2157
2632,7399
2632,1052109
2632,1052107
2632,1146050
2632,181975
2632,82587
2632,78029
2632,15899
2632,13472
2632,97260
2632,12219
2632,19292
2632,7132
2632,58198
2632,1409651
2632,1409652
2632,212208
2632,14
2632,1289968
2632,44796
2632,9780
2632,77896
5726,15535
5726,68215
5726,86655
5726,1919996
5726,181975
5726,82587
5726,78029
943183,19742
943183,1741659
19742,1107983
19742,52057
19742,110380
19742,14386
19742,84932
19742,1214573
19742,1700943
19742,938972
19742,1236595
2047,1204610
2047,1027445
2047,65398
2047,2390
2047,58493
2047,18992
2047,2049
2047,18972
2047,3036
2047,5294
2047,6046
2047,20904
2047,157963
2047,74375
2047,9979
2047,9789
2047,6449
2049,1504019
2049,583808
2049,1612266
2049,96321
2049,1182409
16828,1172108
16828,30083
16828,3223
16828,103
16828,74568
16828,11090
16828,39995
16828,18793
16828,172069
16828,1215522
16828,1896
3223,74568
3223,103
3223,10850
3223,1108
3223,1136406
3223,505710
3223,1643142
3223,564
3223,584
3223,32233
3223,172069
3223,1215522
3223,1896
113674,1121
113674,543530
113674,10850
113674,12891
113674,59026
10850,1108
10850,12891
10850,59026
10850,55499
10850,15347
10850,16828
10850,1136406
10850,505710
10850,1643142
10850,7626
10850,1245564
10850,934847
10850,172069
10850,1215522
10850,1896
44038,2963
44038,2115
44038,6719
44038,12235
44038,19665
44038,98199
44038,1150
44038,67877
44038,4301
44038,66776
44038,71010
44038,10083
2963,16431
2963,16839
2963,5602
2963,6586
2963,322
2963,587506
2963,543505
2963,130640
2963,19803
2963,1084298
2963,100140
35705,561869
35705,62649
35705,143242
35705,174837
35705,50463
35705,12021
35705,9278
35705,63
35705,113505
35705,1819889
143242,174837
174837,19185
174837,74353
174837,36811
2535,225620
2535,52057
2535,31137
2535,62093
2535,21353
2535,105762
2535,140
2535,1350470
2535,1025444
2535,1922617
2535,587035
2535,479206
2535,154382
2535,31134
2535,74613
2535,2545
2535,138
2535,141
2535,1222355
2535,8984
2535,2888
2535,1220781
2535,115002
2535,7447
2535,88620
2535,19961
2535,180986
140,1394681
140,1394682
140,21063
140,52404
140,2545
140,138
140,141
103,2282
