TIME,FLIGHT,FROM_AIRPORT,IATA,AIRLINE,AIRCRAFT,STATUS
16:46,UA1174,San Jose del Cabo ,SJD,United Airlines,A320 (N416UA),Scheduled
16:54,UA1243,Puerto Vallarta ,PVR,United Airlines,A320 (N452UA),Scheduled
16:55,WN1075,San Diego ,SAN,Southwest Airlines,B738 (N8318F),Scheduled
16:56,UA1722,Kahului ,OGG,United Airlines,B772 (N791UA),Scheduled
17:01,AS3319,Las Vegas ,LAS,Alaska SkyWest,E75L (N400SY),Scheduled
17:06,AS466,Portland ,PDX,Alaska Airlines,B739 (N492AS),Scheduled
17:09,UA5754,North Bend ,OTH,United Express,CRJ2 (N472CA),Scheduled
17:10,UA330,Boston ,BOS,United Airlines,B738 (N76503),Scheduled
17:10,UA5902,Phoenix ,PHX,United Express,E75L (N153SY),Scheduled
17:11,UA5255,Ontario ,ONT,United Express,E75L (N213SY),Scheduled
17:12,N774QS,San Jose del Cabo ,SJD,NORRA,CL30,Scheduled
17:13,UA5264,Palm Springs ,PSP,United Express,E75L (N109SY),Scheduled
17:13,UA5440,Salt Lake City ,SLC,United Express,E75L (N621UX),Scheduled
17:14,UA2102,Chicago ,ORD,United Airlines,B753 (N57855),Scheduled
17:14,UA4775,Eugene ,EUG,United Express,E75L (N157SY),Scheduled
17:14,UA5559,Sacramento ,SMF,United Express,CRJ2 (N982SW),Scheduled
17:15,UA426,Seattle ,SEA,United Airlines,A319 (N844UA),Scheduled
17:17,UA5777,San Luis Obispo ,SBP,United Express,CRJ2 (N973SW),Scheduled
17:18,UA5452,Vancouver ,YVR,United Express,E75L (N606UX),Scheduled
17:21,UA643,Kailua-Kona ,KOA,United Airlines,B739 (N63890),Scheduled
17:22,AS2377,Austin ,AUS,Alaska Horizon,E75L (N632QX),Scheduled
17:23,UA2482,San Diego ,SAN,United Airlines,B739 (N47414),Scheduled
17:25,UA5504,Medford ,MFR,United Express,CRJ2 (N693BR),Scheduled
17:26,UA5606,Spokane ,GEG,United Express,E75L (N207SY),Scheduled
17:27,AS3379,Palm Springs ,PSP,Alaska SkyWest,E75L (N192SY),Scheduled
17:27,UA5779,Bozeman ,BZN,United Express,E75L (N116SY),Scheduled
17:28,UA735,Denver ,DEN,United Airlines,A320 (N417UA),Scheduled
17:28,UA5926,Santa Ana ,SNA,United Express,CRJ7 (N780SK),Scheduled
17:30,UA1548,Los Angeles ,LAX,United Airlines,B738 (N87531),Scheduled
17:32,UA494,Houston ,IAH,United Airlines,B739 (N69816),Scheduled
17:32,UA5814,Reno ,RNO,United Express,E75L (N142SY),Scheduled
17:33,DL3711,Seattle ,SEA,Delta Connection,E75L (N244SY),Scheduled
17:33,UA5456,Dallas ,DFW,United Express,E75L (N119SY),Scheduled
17:34,UA306,Austin ,AUS,United Airlines,A319 (N823UA),Scheduled
17:39,UA1978,New York ,EWR,United Airlines,B752 (N12114),Scheduled
17:39,UA5417,Tucson ,TUS,United Express,CRJ2 (N854AS),Scheduled
17:40,UA4761,Albuquerque ,ABQ,United Express,E75L (N128SY),Scheduled
17:42,UA372,Honolulu ,HNL,United Airlines,B753 (N77865),Scheduled
17:42,UA2047,Las Vegas ,LAS,United Airlines,A320 (N483UA),Scheduled
17:42,UA5321,Boise ,BOI,United Express,E75L (N204SY),Scheduled
17:56,DL843,Minneapolis ,MSP,Delta Air Lines,B739 (N821DN),Scheduled
18:03,UA1159,Cancun ,CUN,United Airlines,B739 (N37419),Scheduled
18:06,AS2303,Las Vegas ,LAS,Alaska Horizon,E75L (N624QX),Scheduled
18:20,AS3400,Los Angeles ,LAX,Alaska SkyWest,E75L (N187SY),Scheduled
18:20,UA900,London ,LHR,United Airlines,B788 (N27903),Scheduled
18:21,DL3572,Los Angeles ,LAX,Delta Connection,E75L (N302SY),Scheduled
18:25,DL720,Detroit ,DTW,Delta Air Lines,B739 (N911DQ),Scheduled
18:26,DL401,New York ,JFK,Delta Air Lines,B752 (N722TW),Scheduled
18:34,AA680,Philadelphia ,PHL,American Airlines,A321 (N184US),Scheduled
18:39,1I759,Eagle ,EGE,NetJets,CL30,Scheduled
18:40,AS2395,Dallas ,DAL,Alaska Horizon,E75L (N643QX),Scheduled
18:40,WN1254,Burbank ,BUR,Southwest Airlines,B738 (N8618N),Scheduled
18:45,CI4,Taipei ,TPE,China Airlines,B773,Scheduled
18:55,F92081,Las Vegas ,LAS,Frontier (Steve the Eagle Livery),A321 (N709FR),Scheduled
18:55,WN526,Phoenix ,PHX,Southwest Airlines,B737 (N959WN),Scheduled
18:57,AA1824,Dallas ,DFW,American Airlines,B738 (N963NN),Scheduled
18:57,DL717,Atlanta ,ATL,Delta Air Lines,B739 (N815DN),Scheduled
19:05,UA1808,Houston ,IAH,United Airlines,B738 (N77542),Scheduled
19:25,B62736,Los Angeles ,LAX,JetBlue Airways,A320 (N827JB),Scheduled
19:30,AS3453,Santa Ana ,SNA,Alaska SkyWest,E75L (N170SY),Scheduled
19:45,AS1273,Puerto Vallarta ,PVR,Alaska Airlines,B739 (N290AK),Scheduled
20:00,AS3325,Los Angeles ,LAX,Alaska SkyWest,E75L (N195SY),Scheduled
20:00,AS3361,San Diego ,SAN,Alaska SkyWest,E75L (N402SY),Scheduled
20:02,AA99,Phoenix ,PHX,American Airlines,A321 (N933AM),Scheduled
20:05,AS1258,Seattle ,SEA,Alaska Airlines,B739 (N309AS),Scheduled
20:20,AS1213,Chicago ,ORD,Alaska Airlines (Boeing 100 years strong Livery),B739 (N248AK),Scheduled
20:24,UA1666,Los Angeles ,LAX,United Airlines,A320 (N468UA),Scheduled
20:34,AS3464,Phoenix ,PHX,Alaska SkyWest,E75L (N188SY),Scheduled
20:34,DL716,Atlanta ,ATL,Delta Air Lines,B752 (N823DX),Scheduled
20:36,B6633,Boston ,BOS,JetBlue Airways,A321 (N937JB),Scheduled
20:38,AS2317,Spokane ,GEG,Alaska Horizon,E75L (N631QX),Scheduled
20:39,UA2110,Chicago ,ORD,United Airlines,A320 (N493UA),Scheduled
20:45,AS657,New York ,JFK,Alaska Airlines,A21N (N929VA),Scheduled
20:45,WN227,Los Angeles ,LAX,Southwest Airlines,B738 (N8574Z),Scheduled
20:50,UA2435,Washington ,IAD,United Airlines,B788 (N26906),Scheduled
20:51,AA1430,Dallas ,DFW,American Airlines,B738 (N343PN),Scheduled
20:55,UA214,Seattle ,SEA,United Airlines,A319 (N848UA),Scheduled
21:10,UA1118,Cancun ,CUN,United Airlines,B739 (N37437),Scheduled
21:10,CX872,Hong Kong ,HKG,Cathay Pacific,A35K,Scheduled
21:17,UA257,Denver ,DEN,United Airlines,B739 (N61898),Scheduled
21:18,UA5279,San Diego ,SAN,United Express,E75L (N127SY),Scheduled
21:20,B6115,New York ,JFK,JetBlue Airways,A321 (N989JT),Scheduled
21:25,UA741,New York ,EWR,United Airlines,B789 (N24973),Scheduled
21:25,WN1320,San Diego ,SAN,Southwest Airlines,B738 (N8682B),Scheduled
21:29,AA2909,Charlotte ,CLT,American Airlines,A321 (N191UW),Scheduled
21:29,AS3476,Portland ,PDX,Alaska SkyWest,E75L (N404SY),Scheduled
21:29,DL673,New York ,JFK,Delta Air Lines,B752 (N706TW),Scheduled
21:30,AS1002,Washington ,DCA,Alaska Airlines,A21N (N928VA),Scheduled
21:30,WN434,Denver ,DEN,Southwest Airlines,B738 (N8529Z),Scheduled
21:43,AA2920,Chicago ,ORD,American Airlines,B738 (N932NN),Scheduled
21:55,UA2400,Boston ,BOS,United Airlines,B738 (N77539),Scheduled
21:56,AS345,New York ,EWR,Alaska Airlines,B739 (N298AK),Scheduled
21:57,UA1552,Houston ,IAH,United Airlines,B789 (N24976),Scheduled
22:00,UA1608,Chicago ,ORD,United Airlines,B789 (N17963),Scheduled
22:05,DL3557,Los Angeles ,LAX,Delta Connection,E75L (N275SY),Scheduled
22:10,AV560,San Salvador ,SAL,Avianca,A319 (N480TA),Scheduled
22:25,AS3479,Los Angeles ,LAX,Alaska SkyWest,E75L (N187SY),Scheduled
22:25,UA2862,Guam ,GUM,United Airlines,B789 (N26967),Scheduled
22:38,AA3202,Los Angeles ,LAX,American Eagle,CRJ7 (N740SK),Scheduled
22:45,AS1279,San Jose del Cabo ,SJD,Alaska Airlines,A320 (N841VA),Scheduled
22:48,DL710,Atlanta ,ATL,Delta Air Lines,B739 (N820DN),Scheduled
23:00,DL994,Detroit ,DTW,Delta Air Lines,B739 (N837DN),Scheduled
23:06,DL827,Minneapolis ,MSP,Delta Air Lines,B739 (N802DN),Scheduled
23:12,DL1362,Salt Lake City ,SLC,Delta Air Lines,BCS1 (N115DU),Scheduled
23:17,DL3597,Seattle ,SEA,Delta Connection,E75L (N268SY),Scheduled
23:20,HA12,Honolulu ,HNL,Hawaiian Airlines,A332,Scheduled
23:40,AS1332,Seattle ,SEA,Alaska Airlines,A320 (N845VA),Scheduled
23:54,F9665,Denver ,DEN,Frontier (Choo the Pika Livery),A20N (N331FR),Scheduled
